system:index,date,class_id,LAI_MODIS,FVC_crudo,FVC_gf,LAI_MODIS_raw,FPAR_MODIS,LAI_gf,LAI_crudo,FPAR_MODIS_raw
0_8_0,2023-01-05,6202,0.7000000000000001,0.030803576,0.020041347,7,0.35000000000000003,0.36553383,0.48850232,35
0_11_0,2023-01-05,2812,1.0,0.036067605,0.018927112,10,0.42,0.3783305,0.37942275,42
0_57_0,2023-01-05,7941,0.8,0.1569449,0.076306395,8,0.34,0.38269717,0.27041033,34
0_82_0,2023-01-05,3426,0.4,1.0E-5,0.06659638,4,0.25,0.2635399,1.0E-5,25
0_145_0,2023-01-05,3134,0.7000000000000001,0.039706457,0.055103995,7,0.32,0.41862485,0.40833163,32
0_171_0,2023-01-05,5774,0.4,1.0E-5,0.0071019162,4,0.22,0.28462243,0.5309922,22
0_176_0,2023-01-05,6355,0.7000000000000001,1.0E-5,0.0025112769,7,0.35000000000000003,0.51571953,0.033250056,35
0_213_0,2023-01-05,3880,0.8,1.0E-5,0.00807744,8,0.43,0.31872758,0.458703,43
0_229_0,2023-01-05,9953,0.30000000000000004,1.0E-5,0.021097286,3,0.19,0.31662518,0.58680576,19
0_247_0,2023-01-05,9664,0.8,1.0E-5,0.12035004,8,0.4,0.4800795,0.3243255,40
0_284_0,2023-01-05,3432,0.5,0.05397908,0.018337227,5,0.26,0.46213648,0.15205143,26
0_319_0,2023-01-05,1989,0.7000000000000001,0.033500504,0.010622725,7,0.33,0.24780521,0.22693972,33
0_334_0,2023-01-05,9643,0.6000000000000001,0.009009527,0.045501698,6,0.31,0.22838198,0.32916084,31
0_343_0,2023-01-05,5265,0.5,1.0E-5,0.140378,5,0.28,0.52879107,0.3015572,28
0_396_0,2023-01-05,9182,0.5,1.0E-5,0.09609031,5,0.23,0.34238762,0.27532518,23
0_424_0,2023-01-05,1763,0.9,1.0E-5,0.03587298,9,0.43,0.42040706,0.39533353,43
0_430_0,2023-01-05,7487,0.30000000000000004,1.0E-5,0.04437937,3,0.18,0.27053228,0.25659674,18
0_464_0,2023-01-05,7130,0.2,0.0731031,0.2196034,2,0.14,0.7065747,1.0E-5,14
0_471_0,2023-01-05,544,0.4,1.0E-5,0.017920455,4,0.22,0.2688376,0.53602976,22
0_482_0,2023-01-05,4903,2.0,0.43339935,0.40489513,20,0.65,0.88602304,0.7091385,65
1_2_0,2023-01-15,6139,1.8,0.23564903,0.21762055,18,0.54,0.41266638,0.34498516,54
1_8_0,2023-01-15,6202,0.6000000000000001,1.0E-5,0.011937735,6,0.36,0.4811276,0.4135861,36
1_11_0,2023-01-15,2812,1.0,0.01514832,0.014589782,10,0.51,0.39809313,0.3200402,51
1_38_0,2023-01-15,516,0.5,0.013165614,0.053037263,5,0.25,0.20409113,0.17914428,25
1_57_0,2023-01-15,7941,0.7000000000000001,1.0E-5,0.050344475,7,0.38,0.4201839,0.345831,38
1_73_0,2023-01-15,3002,0.5,1.0E-5,0.015686633,5,0.27,0.22318557,0.153551,27
1_82_0,2023-01-15,3426,0.5,1.0E-5,0.018144228,5,0.29,0.24892357,0.3008127,29
1_102_0,2023-01-15,214,0.5,1.0E-5,0.0016222947,5,0.25,0.17323653,0.11877684,25
1_106_0,2023-01-15,956,0.7000000000000001,0.010298823,0.033580303,7,0.4,0.29128253,0.26577002,40
1_109_0,2023-01-15,9856,1.1,0.055806093,0.0754932,11,0.47000000000000003,0.27890667,0.2571116,47
1_145_0,2023-01-15,3134,0.4,1.0E-5,0.0112619735,4,0.22,0.35810202,0.22508861,22
1_153_0,2023-01-15,6697,0.4,1.0E-5,0.0197918,4,0.26,0.3643382,0.22044072,26
1_171_0,2023-01-15,5774,0.5,0.02106225,0.009696542,5,0.23,0.22774638,0.16731001,23
1_176_0,2023-01-15,6355,0.5,1.0E-5,2.713592E-4,5,0.24,0.5998114,0.8322504,24
1_213_0,2023-01-15,3880,0.30000000000000004,0.01674557,0.011840059,3,0.17,0.29697815,0.15875487,17
1_229_0,2023-01-15,9953,0.6000000000000001,1.0E-5,0.003736114,6,0.27,0.31949645,0.053887147,27
1_245_0,2023-01-15,1735,1.4000000000000001,1.0E-5,0.020826865,14,0.59,0.3170793,0.22883515,59
1_247_0,2023-01-15,9664,0.7000000000000001,1.0E-5,0.029761946,7,0.37,0.3128817,0.20377478,37
1_258_0,2023-01-15,8960,0.5,0.047189306,0.050279513,5,0.27,0.21752264,0.17135875,27
1_269_0,2023-01-15,3474,1.5,0.14432335,0.17997363,15,0.5700000000000001,0.27854782,0.24020055,57
1_274_0,2023-01-15,6093,0.7000000000000001,1.0E-5,5.009969E-4,7,0.33,0.4858797,0.52438647,33
1_280_0,2023-01-15,275,0.30000000000000004,1.0E-5,1.0209895E-5,3,0.21,0.4406808,0.3927802,21
1_284_0,2023-01-15,3432,0.7000000000000001,1.0E-5,0.016889103,7,0.39,0.44765052,0.5857471,39
1_307_0,2023-01-15,2058,0.5,1.0E-5,0.010880848,5,0.27,0.33331344,0.26359096,27
1_317_0,2023-01-15,113,0.5,1.0E-5,0.011409835,5,0.25,0.3910386,0.17435533,25
1_319_0,2023-01-15,1989,1.1,1.0E-5,0.0052595926,11,0.52,0.26765555,0.25687137,52
1_334_0,2023-01-15,9643,0.5,0.05891792,0.036196105,5,0.25,0.2140748,0.2725772,25
1_339_0,2023-01-15,5203,0.30000000000000004,1.0E-5,0.0036979967,3,0.19,0.35727093,0.38733837,19
1_343_0,2023-01-15,5265,0.8,1.0E-5,0.042389415,8,0.33,0.25139138,0.123240024,33
1_350_0,2023-01-15,3179,0.7000000000000001,0.030583581,0.02038824,7,0.38,0.2869879,0.1813928,38
1_357_0,2023-01-15,7753,1.0,0.03608399,0.029804625,10,0.51,0.35008404,0.29300585,51
1_358_0,2023-01-15,9745,0.8,0.017887821,0.03540164,8,0.39,0.4603843,0.47283003,39
1_373_0,2023-01-15,2431,0.9,0.2612291,0.15779233,9,0.42,0.42248154,0.4274126,42
1_396_0,2023-01-15,9182,0.7000000000000001,1.0E-5,0.039260894,7,0.38,0.25402024,0.20771454,38
1_418_0,2023-01-15,3744,0.6000000000000001,1.0E-5,1.0092587E-5,6,0.34,0.39874464,0.34933114,34
1_422_0,2023-01-15,7245,1.2000000000000002,0.13784173,0.10783372,12,0.5700000000000001,0.34282273,0.34458163,57
1_424_0,2023-01-15,1763,0.7000000000000001,0.021945877,0.033361435,7,0.34,0.40866238,0.37402955,34
1_430_0,2023-01-15,7487,0.5,1.0E-5,0.010832473,5,0.27,0.25436977,0.17788197,27
1_441_0,2023-01-15,7215,0.5,0.03146471,0.072733946,5,0.28,0.31909567,0.2249171,28
1_447_0,2023-01-15,3281,0.5,1.0E-5,0.038957205,5,0.25,0.24054924,0.32437697,25
1_449_0,2023-01-15,8225,0.7000000000000001,1.0E-5,1.0E-5,7,0.32,0.40272772,0.46649793,32
1_455_0,2023-01-15,7579,0.7000000000000001,1.0E-5,0.013481306,7,0.38,0.31654957,0.26227197,38
1_464_0,2023-01-15,7130,0.7000000000000001,1.0E-5,0.099164136,7,0.38,0.37746263,0.18528189,38
1_471_0,2023-01-15,544,0.5,0.022943301,0.0074849664,5,0.26,0.27389565,0.17798638,26
1_482_0,2023-01-15,4903,1.1,0.54170734,0.5056906,11,0.47000000000000003,1.2727126,1.3766409,47
1_499_0,2023-01-15,7911,1.4000000000000001,0.17787564,0.17210642,14,0.59,0.4059759,0.42304653,59
2_8_0,2023-01-20,6202,1.1,0.010140874,0.007933995,11,0.46,0.5176968,0.68227607,46
2_11_0,2023-01-20,2812,0.7000000000000001,0.030797556,0.014097448,7,0.35000000000000003,0.40046912,0.45409983,35
2_38_0,2023-01-20,516,0.7000000000000001,0.068822645,0.06270586,7,0.33,0.2152016,0.030682242,33
2_57_0,2023-01-20,7941,0.7000000000000001,0.024137367,0.03872845,7,0.4,0.4312576,0.68218327,40
2_73_0,2023-01-20,3002,0.30000000000000004,1.0E-5,0.007876752,3,0.22,0.21292478,0.31345826,22
2_102_0,2023-01-20,214,0.5,0.007822165,0.0021869366,5,0.22,0.17280142,0.22289021,22
2_106_0,2023-01-20,956,0.7000000000000001,0.07595784,0.03305108,7,0.4,0.28842118,0.4088882,40
2_145_0,2023-01-20,3134,0.8,1.0E-5,0.008017387,8,0.35000000000000003,0.37130862,0.4285545,35
2_153_0,2023-01-20,6697,0.4,1.0E-5,0.011927762,4,0.27,0.37480265,0.5427516,27
2_176_0,2023-01-20,6355,0.7000000000000001,1.0E-5,1.8152031E-4,7,0.34,0.6172264,0.74514383,34
2_213_0,2023-01-20,3880,0.6000000000000001,0.02487278,0.013429455,6,0.3,0.28506774,0.28397134,30
2_229_0,2023-01-20,9953,0.7000000000000001,0.008670024,0.0018502219,7,0.31,0.31831276,0.32191426,31
2_245_0,2023-01-20,1735,1.0,1.0E-5,0.01503105,10,0.4,0.3265796,0.49407288,40
2_247_0,2023-01-20,9664,0.5,1.0E-5,0.0075435643,5,0.28,0.31241253,0.32181558,28
2_258_0,2023-01-20,8960,0.4,0.026129534,0.049739562,4,0.27,0.20537211,0.27534577,27
2_269_0,2023-01-20,3474,1.3,0.12559819,0.15793735,13,0.49,0.25542483,1.0E-5,49
2_274_0,2023-01-20,6093,0.5,1.0E-5,6.9023465E-4,5,0.29,0.4998615,0.6362019,29
2_280_0,2023-01-20,275,0.4,1.0E-5,1.01176975E-5,4,0.21,0.44374928,0.4764149,21
2_284_0,2023-01-20,3432,0.5,0.022822853,0.016403997,5,0.31,0.418819,0.8203134,31
2_307_0,2023-01-20,2058,0.4,1.0E-5,0.010743403,4,0.25,0.36036605,0.5163123,25
2_317_0,2023-01-20,113,0.6000000000000001,0.046213478,0.011182481,6,0.35000000000000003,0.41023824,0.5757683,35
2_319_0,2023-01-20,1989,1.5,1.0E-5,0.004778123,15,0.54,0.27965683,0.29470307,54
2_334_0,2023-01-20,9643,0.6000000000000001,0.015533795,0.032832045,6,0.32,0.20528874,1.0E-5,32
2_339_0,2023-01-20,5203,0.4,1.0E-5,0.0026895306,4,0.19,0.38813984,0.38285938,19
2_343_0,2023-01-20,5265,0.6000000000000001,1.0E-5,0.01607222,6,0.36,0.22196865,0.22212495,36
2_350_0,2023-01-20,3179,1.0,0.032757077,0.022069234,10,0.41000000000000003,0.27709517,0.24549681,41
2_357_0,2023-01-20,7753,0.7000000000000001,0.06423309,0.03247492,7,0.35000000000000003,0.34705734,0.3350516,35
2_358_0,2023-01-20,9745,1.1,0.06409112,0.036246963,11,0.52,0.45863345,0.6009525,52
2_396_0,2023-01-20,9182,0.8,0.011890917,0.018892083,8,0.35000000000000003,0.23580684,1.0E-5,35
2_418_0,2023-01-20,3744,0.7000000000000001,1.0E-5,1.0123467E-5,7,0.33,0.40153962,0.538649,33
2_422_0,2023-01-20,7245,1.4000000000000001,0.17314388,0.11433622,14,0.59,0.3222001,0.39088467,59
2_424_0,2023-01-20,1763,0.5,0.11336342,0.03752662,5,0.26,0.39271587,0.47719637,26
2_430_0,2023-01-20,7487,0.7000000000000001,1.0E-5,0.0043739555,7,0.34,0.2619682,0.31071126,34
2_441_0,2023-01-20,7215,0.30000000000000004,1.0E-5,0.04306564,3,0.18,0.27367052,0.28445017,18
2_447_0,2023-01-20,3281,0.5,0.042675726,0.033518083,5,0.28,0.2455093,0.24410424,28
2_449_0,2023-01-20,8225,0.6000000000000001,1.0E-5,7.227334E-4,6,0.33,0.36011618,0.5213295,33
2_455_0,2023-01-20,7579,0.7000000000000001,1.0E-5,0.016245672,7,0.37,0.308043,0.29567075,37
2_464_0,2023-01-20,7130,1.0,1.0E-5,0.05039924,10,0.4,0.28111595,0.1995637,40
2_471_0,2023-01-20,544,0.5,0.020144746,0.00876008,5,0.25,0.27756616,0.30798405,25
2_499_0,2023-01-20,7911,1.6,0.27402472,0.19203,16,0.64,0.41091022,0.48342782,64
3_2_0,2023-01-25,6139,1.0,0.19933811,0.17126708,10,0.35000000000000003,0.34122935,0.41039786,35
3_8_0,2023-01-25,6202,0.6000000000000001,1.0E-5,0.004836683,6,0.35000000000000003,0.53771967,0.5236488,35
3_11_0,2023-01-25,2812,1.0,5.543906E-4,0.013561971,10,0.42,0.383375,0.38944012,42
3_38_0,2023-01-25,516,0.8,0.09206853,0.07379514,8,0.39,0.21258937,0.3031389,39
3_57_0,2023-01-25,7941,0.6000000000000001,1.0E-5,0.028084742,6,0.31,0.43772012,0.43420985,31
3_73_0,2023-01-25,3002,0.4,1.0E-5,0.0061408347,4,0.21,0.19360997,0.2781988,21
3_82_0,2023-01-25,3426,1.0,1.0E-5,0.0036024456,10,0.42,0.2769583,0.32313266,42
3_102_0,2023-01-25,214,0.5,1.0E-5,0.0030259744,5,0.29,0.16866295,0.16186433,29
3_106_0,2023-01-25,956,0.9,0.03419771,0.030151607,9,0.45,0.28516898,0.29682648,45
3_109_0,2023-01-25,9856,0.8,0.12037533,0.090330124,8,0.34,0.26322815,0.25695094,34
3_145_0,2023-01-25,3134,0.4,1.0E-5,0.004917317,4,0.25,0.3837408,0.34903422,25
3_153_0,2023-01-25,6697,0.8,1.0E-5,0.004739258,8,0.35000000000000003,0.37502247,0.39428648,35
3_171_0,2023-01-25,5774,0.7000000000000001,0.010879911,0.009578475,7,0.35000000000000003,0.18436354,0.19275431,35
3_176_0,2023-01-25,6355,0.5,1.0E-5,9.8400946E-5,5,0.29,0.6291472,0.593118,29
3_213_0,2023-01-25,3880,0.7000000000000001,0.014147612,0.014239919,7,0.32,0.2755421,0.26285553,32
3_229_0,2023-01-25,9953,0.7000000000000001,1.0E-5,0.0028027743,7,0.33,0.30935082,0.3108892,33
3_245_0,2023-01-25,1735,1.0,1.0E-5,0.010392938,10,0.49,0.32247144,0.38941488,49
3_247_0,2023-01-25,9664,0.5,1.0E-5,0.0037534907,5,0.26,0.31495416,0.24477836,26
3_258_0,2023-01-25,8960,0.8,0.07010422,0.049284443,8,0.37,0.1884624,0.22610424,37
3_269_0,2023-01-25,3474,1.2000000000000002,0.16866624,0.13317858,12,0.48,0.24083994,0.31759295,48
3_274_0,2023-01-25,6093,0.6000000000000001,1.0E-5,9.0867124E-4,6,0.32,0.5026607,0.49090207,32
3_280_0,2023-01-25,275,0.30000000000000004,1.0E-5,9.990965E-6,3,0.2,0.4444736,0.421527,20
3_284_0,2023-01-25,3432,0.5,1.0E-5,0.015216948,5,0.3,0.38766637,0.34196866,30
3_307_0,2023-01-25,2058,0.4,1.0E-5,0.011222862,4,0.2,0.3572055,0.34794945,20
3_317_0,2023-01-25,113,0.6000000000000001,1.0E-5,0.010245407,6,0.35000000000000003,0.43240532,0.4391036,35
3_319_0,2023-01-25,1989,0.9,1.0E-5,0.004499952,9,0.36,0.27851108,0.27206784,36
3_334_0,2023-01-25,9643,0.5,0.0877944,0.028253552,5,0.29,0.19731253,0.25536662,29
3_339_0,2023-01-25,5203,0.30000000000000004,1.0E-5,0.005007487,3,0.17,0.41703358,0.42239594,17
3_343_0,2023-01-25,5265,1.0,1.0E-5,0.0040393653,10,0.42,0.21504521,0.16031799,42
3_350_0,2023-01-25,3179,0.6000000000000001,0.02439371,0.023730041,6,0.31,0.26762778,0.22715724,31
3_357_0,2023-01-25,7753,1.0,0.03856278,0.032827187,10,0.42,0.32862863,0.28573814,42
3_358_0,2023-01-25,9745,0.7000000000000001,0.04005321,0.03566362,7,0.4,0.4479592,0.39165026,40
3_373_0,2023-01-25,2431,0.7000000000000001,1.0E-5,0.09147727,7,0.35000000000000003,0.33222532,0.3088201,35
3_396_0,2023-01-25,9182,0.7000000000000001,1.0E-5,0.006738377,7,0.33,0.24117336,0.27660993,33
3_418_0,2023-01-25,3744,0.6000000000000001,1.0E-5,1.0071883E-5,6,0.35000000000000003,0.39468586,0.42313445,35
3_422_0,2023-01-25,7245,1.0,0.109262615,0.11704648,10,0.49,0.29810318,0.23545052,49
3_424_0,2023-01-25,1763,0.6000000000000001,0.04707781,0.04034942,6,0.3,0.36555097,0.36812273,30
3_430_0,2023-01-25,7487,0.4,1.0E-5,0.0033146597,4,0.21,0.26927283,0.2754697,21
3_441_0,2023-01-25,7215,0.6000000000000001,0.007836108,0.018435484,6,0.29,0.22745842,0.2272138,29
3_447_0,2023-01-25,3281,0.5,0.028928742,0.031324644,5,0.29,0.23411292,0.17361066,29
3_449_0,2023-01-25,8225,0.5,1.0E-5,0.0015090032,5,0.29,0.312016,0.2383848,29
3_455_0,2023-01-25,7579,0.7000000000000001,0.01935781,0.0184967,7,0.38,0.2992558,0.26406273,38
3_464_0,2023-01-25,7130,0.5,1.0E-5,0.017862387,5,0.28,0.26331446,0.27228257,28
3_471_0,2023-01-25,544,0.30000000000000004,0.0056442083,0.010159179,3,0.22,0.2772208,0.29170588,22
3_482_0,2023-01-25,4903,1.9000000000000001,0.61343217,0.5755904,19,0.61,1.5781347,1.8127173,61
3_499_0,2023-01-25,7911,0.9,0.20770122,0.20208888,9,0.41000000000000003,0.3936793,0.4135937,41
4_2_0,2023-01-30,6139,1.9000000000000001,0.13641243,0.14654645,19,0.58,0.30362296,0.3494432,58
4_8_0,2023-01-30,6202,0.7000000000000001,1.0E-5,0.0026345048,7,0.35000000000000003,0.5484545,0.5376772,35
4_11_0,2023-01-30,2812,1.1,1.0E-5,0.011848648,11,0.53,0.3649417,0.4406526,53
4_38_0,2023-01-30,516,0.7000000000000001,0.11022064,0.08334376,7,0.34,0.21825102,0.28198287,34
4_57_0,2023-01-30,7941,0.7000000000000001,1.0E-5,0.019177694,7,0.4,0.44664395,0.3778386,40
4_73_0,2023-01-30,3002,0.30000000000000004,0.01454111,0.007441928,3,0.22,0.17621411,0.102766775,22
4_82_0,2023-01-30,3426,0.7000000000000001,1.0E-5,0.005998199,7,0.39,0.27965057,0.33241713,39
4_102_0,2023-01-30,214,0.30000000000000004,1.0E-5,0.0036566851,3,0.22,0.16412629,0.1631959,22
4_106_0,2023-01-30,956,1.0,0.044687007,0.025931427,10,0.44,0.27196896,0.31398255,44
4_109_0,2023-01-30,9856,1.1,0.11350571,0.092698716,11,0.53,0.25748295,0.27230716,53
4_145_0,2023-01-30,3134,0.4,1.0E-5,0.0017186701,4,0.26,0.40279222,0.40410098,26
4_153_0,2023-01-30,6697,0.5,1.0E-5,0.005273601,5,0.3,0.36863446,0.408085,30
4_171_0,2023-01-30,5774,0.5,0.0075014196,0.008367668,5,0.25,0.17596391,0.16970953,25
4_176_0,2023-01-30,6355,0.7000000000000001,1.0E-5,1.6300519E-5,7,0.3,0.6500386,0.5724352,30
4_213_0,2023-01-30,3880,0.7000000000000001,0.010961574,0.013827188,7,0.34,0.2752917,0.26719037,34
4_229_0,2023-01-30,9953,0.6000000000000001,1.0E-5,0.0035185858,6,0.34,0.3083734,0.3347084,34
4_245_0,2023-01-30,1735,1.0,1.0E-5,0.01054535,10,0.4,0.30334142,0.39481592,40
4_247_0,2023-01-30,9664,0.6000000000000001,1.0E-5,0.0024001962,6,0.34,0.32690975,0.33702564,34
4_258_0,2023-01-30,8960,0.8,0.03441608,0.049529478,8,0.39,0.17344542,0.22042885,39
4_269_0,2023-01-30,3474,0.9,0.12774087,0.110905945,9,0.48,0.2494313,0.2970179,48
4_274_0,2023-01-30,6093,0.6000000000000001,1.0E-5,0.0012330562,6,0.34,0.50441813,0.43827423,34
4_280_0,2023-01-30,275,0.30000000000000004,1.0E-5,9.989718E-6,3,0.22,0.45964682,0.4666168,22
4_284_0,2023-01-30,3432,1.1,1.0E-5,0.01284466,11,0.43,0.35987875,0.32300055,43
4_307_0,2023-01-30,2058,0.6000000000000001,1.0E-5,0.011079102,6,0.35000000000000003,0.35633093,0.3707365,35
4_317_0,2023-01-30,113,0.7000000000000001,1.0E-5,0.009243534,7,0.38,0.46894756,0.4611015,38
4_319_0,2023-01-30,1989,1.2000000000000002,1.0E-5,0.003983359,12,0.46,0.27147138,0.31101134,46
4_334_0,2023-01-30,9643,0.5,1.0E-5,0.023105089,5,0.28,0.19499177,0.15078188,28
4_339_0,2023-01-30,5203,0.4,1.0E-5,0.0071057905,4,0.26,0.4425639,0.45328727,26
4_343_0,2023-01-30,5265,0.8,1.0E-5,0.0019885977,8,0.34,0.22766308,0.18164879,34
4_350_0,2023-01-30,3179,0.9,0.01846624,0.024334816,9,0.38,0.27145582,0.26035804,38
4_357_0,2023-01-30,7753,1.1,0.03680181,0.03077457,11,0.53,0.31464526,0.338239,53
4_358_0,2023-01-30,9745,0.8,0.032053098,0.03802651,8,0.44,0.43184903,0.45719028,44
4_373_0,2023-01-30,2431,0.5,1.0E-5,0.05807998,5,0.29,0.2906622,0.33503997,29
4_396_0,2023-01-30,9182,0.7000000000000001,1.0E-5,0.0052101216,7,0.4,0.26556352,0.32373357,40
4_418_0,2023-01-30,3744,1.0,1.0E-5,1.0056179E-5,10,0.49,0.38175994,0.52277964,49
4_422_0,2023-01-30,7245,0.9,0.10492512,0.115558304,9,0.47000000000000003,0.2744696,0.2513561,47
4_424_0,2023-01-30,1763,0.7000000000000001,0.016170483,0.04112586,7,0.4,0.34553918,0.3387736,40
4_430_0,2023-01-30,7487,0.5,1.0E-5,0.0042574895,5,0.28,0.2781112,0.25807264,28
4_441_0,2023-01-30,7215,0.5,1.0E-5,0.008927975,5,0.26,0.19499838,0.23481083,26
4_447_0,2023-01-30,3281,0.7000000000000001,0.028945204,0.03306405,7,0.34,0.2239087,0.2023232,34
4_449_0,2023-01-30,8225,0.5,1.0E-5,0.0020500831,5,0.27,0.27045587,0.16795099,27
4_455_0,2023-01-30,7579,0.6000000000000001,0.027292619,0.018984413,6,0.33,0.29334998,0.29960495,33
4_464_0,2023-01-30,7130,0.7000000000000001,1.0E-5,0.0076148803,7,0.3,0.30380476,0.30603427,30
4_471_0,2023-01-30,544,0.5,1.0E-5,0.010796062,5,0.28,0.28089532,0.31163737,28
4_482_0,2023-01-30,4903,2.5,0.62537396,0.59067523,25,0.73,1.6518989,1.9397668,73
4_499_0,2023-01-30,7911,1.4000000000000001,0.2453344,0.19752058,14,0.6,0.3724018,0.42478773,60
5_2_0,2023-02-04,6139,1.1,0.10611813,0.123981975,11,0.39,0.2783099,0.25175196,39
5_8_0,2023-02-04,6202,0.6000000000000001,1.0E-5,8.4861164E-4,6,0.3,0.5487848,0.5740144,30
5_11_0,2023-02-04,2812,0.7000000000000001,1.0E-5,0.009921006,7,0.34,0.33909783,0.46794516,34
5_38_0,2023-02-04,516,0.7000000000000001,0.09661657,0.089270905,7,0.32,0.22984469,0.3088391,32
5_57_0,2023-02-04,7941,0.6000000000000001,0.020605776,0.012539453,6,0.27,0.44908762,0.43656102,27
5_73_0,2023-02-04,3002,0.4,0.019360894,0.0087108845,4,0.21,0.16198047,0.1434204,21
5_82_0,2023-02-04,3426,0.5,1.0E-5,0.010122501,5,0.29,0.27293316,0.3455497,29
5_102_0,2023-02-04,214,0.30000000000000004,0.0031089692,0.0041539306,3,0.14,0.16380772,0.14726725,14
5_106_0,2023-02-04,956,0.5,1.0E-5,0.020561783,5,0.29,0.25026858,0.19468084,29
5_109_0,2023-02-04,9856,0.5,0.10525888,0.092096366,5,0.24,0.2538944,0.26342043,24
5_145_0,2023-02-04,3134,0.5,1.0E-5,1.0E-5,5,0.23,0.42204642,0.4179812,23
